source_entry_id,raw_period,exact_period_s,lower_bound_s,record_status,used_in_kde
1,>7200,,7200,lower_bound_only,0
2,300,300,,exact_value,1
3,302,302,,exact_value,1
4,302,302,,exact_value,1
5,301,301,,exact_value,1
6,1500,1500,,exact_value,1
7,4674,4674,,exact_value,1
8,289,289,,exact_value,1
9,1800,1800,,exact_value,1
10,300,300,,exact_value,1
11,300,300,,exact_value,1
12,834,834,,exact_value,1
13,211,211,,exact_value,1
14,302,302,,exact_value,1
15,4200,4200,,exact_value,1
16,>7200,,7200,lower_bound_only,0
17,301,301,,exact_value,1
18,1199,1199,,exact_value,1
19,301,301,,exact_value,1
20,304,304,,exact_value,1
21,240,240,,exact_value,1
22,301,301,,exact_value,1
23,302,302,,exact_value,1
24,301,301,,exact_value,1
25,600,600,,exact_value,1
26,254,254,,exact_value,1
27,300,300,,exact_value,1
28,300,300,,exact_value,1
29,>7200,,7200,lower_bound_only,0
30,1768,1768,,exact_value,1
31,263,263,,exact_value,1
32,239,239,,exact_value,1
33,7877,7877,,exact_value,1
34,301,301,,exact_value,1
35,300,300,,exact_value,1
36,3600,3600,,exact_value,1
37,300,300,,exact_value,1
38,300,300,,exact_value,1
39,286,286,,exact_value,1
40,289,289,,exact_value,1
41,300,300,,exact_value,1
42,>7200,,7200,lower_bound_only,0
43,289,289,,exact_value,1
44,1432,1432,,exact_value,1
45,1547,1547,,exact_value,1
46,3636,3636,,exact_value,1
47,1024,1024,,exact_value,1
48,300,300,,exact_value,1
49,300,300,,exact_value,1
50,300,300,,exact_value,1
51,582,582,,exact_value,1
52,300,300,,exact_value,1
53,301,301,,exact_value,1
54,3600,3600,,exact_value,1
55,241,241,,exact_value,1
56,301,301,,exact_value,1
57,303,303,,exact_value,1
58,30,30,,exact_value,1
59,312,312,,exact_value,1
60,1800,1800,,exact_value,1
61,3834,3834,,exact_value,1
62,301,301,,exact_value,1
63,1200,1200,,exact_value,1
64,>7200,,7200,lower_bound_only,0
65,607,607,,exact_value,1
66,6953,6953,,exact_value,1
67,1795,1795,,exact_value,1
68,1552,1552,,exact_value,1
69,300,300,,exact_value,1
70,300,300,,exact_value,1
71,7200,7200,,exact_value,1
72,1826,1826,,exact_value,1
73,>7200,,7200,lower_bound_only,0
74,1800,1800,,exact_value,1
75,300,300,,exact_value,1
76,599,599,,exact_value,1
77,298,298,,exact_value,1
78,300,300,,exact_value,1
79,301,301,,exact_value,1
80,>7200,,7200,lower_bound_only,0
